PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
De'Andre Hunter,CLE,CLE vs. TOR,10/31/2025,L,34,26,8,18,44.4,4,12,33.3,6,8,75.0,1,5,6,2,0,1,3,3,-3,36.2
Joel Embiid,PHI,PHI vs. BOS,10/31/2025,L,25,20,6,13,46.2,1,2,50.0,7,7,100,1,5,6,3,0,2,4,2,2,33.7
Tyrese Maxey,PHI,PHI vs. BOS,10/31/2025,L,44,26,8,16,50.0,4,9,44.4,6,7,85.7,1,7,8,14,2,2,5,2,10,63.6
Lonzo Ball,CLE,CLE vs. TOR,10/31/2025,L,26,8,3,7,42.9,2,4,50.0,0,0,-,1,4,5,5,1,0,2,0,5,22.5
Jamison Battle,TOR,TOR @ CLE,10/31/2025,W,15,20,7,7,100,6,6,100,0,0,-,0,1,1,0,0,1,1,1,28,23.2
Ochai Agbaji,TOR,TOR @ CLE,10/31/2025,W,17,3,1,3,33.3,0,1,0.0,1,2,50.0,1,6,7,2,1,1,1,3,21,19.4
Thomas Bryant,CLE,CLE vs. TOR,10/31/2025,L,12,4,2,4,50.0,0,1,0.0,0,1,0.0,2,1,3,1,1,0,0,0,-4,12.1
Jamal Shead,TOR,TOR @ CLE,10/31/2025,W,21,9,3,4,75.0,1,1,100,2,2,100,2,5,7,4,0,0,1,4,10,22.4
Sandro Mamukelashvili,TOR,TOR @ CLE,10/31/2025,W,19,11,2,4,50.0,1,3,33.3,6,6,100,1,5,6,3,1,1,3,0,13,25.7
Larry Nance Jr.,CLE,CLE vs. TOR,10/31/2025,L,19,0,0,6,0.0,0,4,0.0,0,0,-,1,1,2,0,0,0,0,3,-10,2.4
Gradey Dick,TOR,TOR @ CLE,10/31/2025,W,5,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,5,2.0
Collin Murray-Boyles,TOR,TOR @ CLE,10/31/2025,W,20,6,2,5,40.0,0,0,-,2,2,100,2,2,4,0,0,0,0,3,-16,10.8
Luke Travers,CLE,CLE vs. TOR,10/31/2025,L,15,2,0,5,0.0,0,2,0.0,2,2,100,2,3,5,2,0,1,1,1,-14,13.0
Dean Wade,CLE,CLE vs. TOR,10/31/2025,L,30,5,1,7,14.3,1,5,20.0,2,2,100,1,3,4,4,3,2,0,1,4,30.8
Evan Mobley,CLE,CLE vs. TOR,10/31/2025,L,36,29,11,17,64.7,2,5,40.0,5,8,62.5,3,5,8,3,3,1,3,2,-7,52.1
RJ Barrett,TOR,TOR @ CLE,10/31/2025,W,36,20,8,15,53.3,3,5,60.0,1,1,100,0,3,3,2,2,0,2,2,2,30.6
Scottie Barnes,TOR,TOR @ CLE,10/31/2025,W,35,14,6,14,42.9,1,4,25.0,1,4,25.0,2,8,10,5,1,1,3,2,-7,36.5
Immanuel Quickley,TOR,TOR @ CLE,10/31/2025,W,27,4,2,9,22.2,0,3,0.0,0,0,-,0,1,1,6,2,0,2,0,1,18.2
Ja'Kobe Walter,TOR,TOR @ CLE,10/31/2025,W,10,3,1,4,25.0,1,3,33.3,0,0,-,1,0,1,0,0,0,1,0,-9,3.2
Kevin Huerter,CHI,CHI vs. NYK,10/31/2025,W,26,12,4,7,57.1,1,3,33.3,3,3,100,1,5,6,2,2,1,2,0,13,29.2
Jordan Clarkson,NYK,NYK @ CHI,10/31/2025,L,13,6,1,4,25.0,1,4,25.0,3,3,100,0,1,1,2,0,1,2,1,-5,11.2
Tyler Kolek,NYK,NYK @ CHI,10/31/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-2,0.2
Jalen Smith,CHI,CHI vs. NYK,10/31/2025,W,17,10,3,5,60.0,2,4,50.0,2,2,100,2,7,9,2,1,2,0,3,13,32.8
Jaylon Tyson,CLE,CLE vs. TOR,10/31/2025,L,33,18,7,14,50.0,4,8,50.0,0,0,-,1,2,3,4,0,3,2,4,2,34.6
Patrick Williams,CHI,CHI vs. NYK,10/31/2025,W,23,9,3,6,50.0,2,4,50.0,1,1,100,0,1,1,3,1,1,2,3,13,18.7
Tyrese Proctor,CLE,CLE vs. TOR,10/31/2025,L,14,4,2,7,28.6,0,3,0.0,0,0,-,1,1,2,2,1,0,1,0,-11,11.4
Miles McBride,NYK,NYK @ CHI,10/31/2025,L,29,8,3,9,33.3,2,5,40.0,0,0,-,1,1,2,2,1,0,1,2,-22,15.4
Josh Hart,NYK,NYK @ CHI,10/31/2025,L,15,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,0,0,1,2,-18,1.7
Nikola Vučević,CHI,CHI vs. NYK,10/31/2025,W,31,26,10,17,58.8,4,8,50.0,2,5,40.0,2,5,7,2,0,0,1,3,-3,36.4
Julian Phillips,CHI,CHI vs. NYK,10/31/2025,W,6,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,9,0.0
Jay Huff,IND,IND vs. ATL,10/31/2025,L,22,8,2,8,25.0,0,4,0.0,4,4,100,4,1,5,2,0,2,1,1,-18,22.0
Tre Jones,CHI,CHI vs. NYK,10/31/2025,W,24,8,0,4,0.0,0,0,-,8,8,100,1,3,4,3,0,1,0,3,-3,20.3
Guerschon Yabusele,NYK,NYK @ CHI,10/31/2025,L,3,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,0,0,1,0,1,-2,8.4
Landry Shamet,NYK,NYK @ CHI,10/31/2025,L,15,4,1,5,20.0,1,5,20.0,1,2,50.0,1,0,1,0,1,0,0,1,-7,8.2
Ayo Dosunmu,CHI,CHI vs. NYK,10/31/2025,W,29,22,8,10,80.0,1,3,33.3,5,6,83.3,0,4,4,9,1,0,1,3,19,42.3
Karl-Anthony Towns,NYK,NYK @ CHI,10/31/2025,L,32,22,6,14,42.9,1,5,20.0,9,9,100,2,8,10,4,0,1,2,2,7,41.0
Matas Buzelis,CHI,CHI vs. NYK,10/31/2025,W,29,13,4,10,40.0,2,5,40.0,3,4,75.0,0,0,0,1,1,1,1,4,-5,19.5
Josh Giddey,CHI,CHI vs. NYK,10/31/2025,W,38,32,12,21,57.1,4,8,50.0,4,6,66.7,0,10,10,9,1,0,0,1,5,60.5
Jalen Brunson,NYK,NYK @ CHI,10/31/2025,L,35,29,12,25,48.0,3,8,37.5,2,5,40.0,1,1,2,7,0,0,2,4,-6,39.9
RayJ Dennis,IND,IND vs. ATL,10/31/2025,L,26,8,3,14,21.4,2,7,28.6,0,0,-,1,4,5,5,1,0,2,3,-26,22.5
Mitchell Robinson,NYK,NYK @ CHI,10/31/2025,L,20,4,2,3,66.7,0,0,-,0,0,-,6,5,11,2,0,0,1,3,0,19.2
Mikal Bridges,NYK,NYK @ CHI,10/31/2025,L,38,23,9,14,64.3,4,8,50.0,1,2,50.0,0,4,4,6,0,1,1,4,-1,38.8
OG Anunoby,NYK,NYK @ CHI,10/31/2025,L,36,26,10,13,76.9,5,7,71.4,1,2,50.0,1,3,4,3,1,1,1,4,6,40.3
Isaac Okoro,CHI,CHI vs. NYK,10/31/2025,W,16,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,1,0,0,2,-11,6.0
Jaylen Wells,MEM,MEM vs. LAL,10/31/2025,L,27,16,7,16,43.8,2,9,22.2,0,1,0.0,4,3,7,0,0,0,0,2,-3,24.4
John Konchar,MEM,MEM vs. LAL,10/31/2025,L,13,6,2,2,100,2,2,100,0,0,-,0,1,1,2,0,0,0,1,3,10.2
Luka Dončić,LAL,LAL @ MEM,10/31/2025,W,39,44,14,27,51.9,6,15,40.0,10,13,76.9,1,11,12,6,0,0,5,3,-2,62.4
Cedric Coward,MEM,MEM vs. LAL,10/31/2025,L,26,13,4,11,36.4,0,4,0.0,5,6,83.3,4,6,10,3,3,0,2,2,-13,36.5
Marcus Smart,LAL,LAL @ MEM,10/31/2025,W,35,12,5,8,62.5,1,4,25.0,1,1,100,0,3,3,4,2,0,3,3,12,24.6
Dalton Knecht,LAL,LAL @ MEM,10/31/2025,W,15,5,2,5,40.0,1,3,33.3,0,0,-,1,1,2,1,1,0,0,2,-10,11.9
Jarred Vanderbilt,LAL,LAL @ MEM,10/31/2025,W,14,2,1,2,50.0,0,1,0.0,0,0,-,1,3,4,1,0,1,0,1,9,11.3
Jaren Jackson Jr.,MEM,MEM vs. LAL,10/31/2025,L,31,15,6,8,75.0,2,2,100,1,2,50.0,0,4,4,1,0,0,2,6,-4,19.3
Jock Landale,MEM,MEM vs. LAL,10/31/2025,L,25,16,6,8,75.0,2,2,100,2,2,100,1,4,5,1,1,0,0,4,0,26.5
Cam Spencer,MEM,MEM vs. LAL,10/31/2025,L,19,12,3,6,50.0,2,5,40.0,4,4,100,0,0,0,3,2,0,1,2,1,21.5
Austin Reaves,LAL,LAL @ MEM,10/31/2025,W,36,21,5,14,35.7,2,8,25.0,9,9,100,0,4,4,4,1,0,2,2,15,32.8
Ja Morant,MEM,MEM vs. LAL,10/31/2025,L,31,8,3,14,21.4,0,6,0.0,2,2,100,0,1,1,7,1,0,1,1,-4,21.7
Rui Hachimura,LAL,LAL @ MEM,10/31/2025,W,38,9,2,4,50.0,2,4,50.0,3,4,75.0,0,3,3,1,1,1,1,4,7,19.1
Kentavious Caldwell-Pope,MEM,MEM vs. LAL,10/31/2025,L,24,12,4,7,57.1,2,4,50.0,2,2,100,0,2,2,5,0,0,1,0,5,20.9
Deandre Ayton,LAL,LAL @ MEM,10/31/2025,W,17,9,4,6,66.7,0,0,-,1,1,100,0,0,0,0,0,0,1,0,-17,8.0
Rasheer Fleming,PHX,PHX vs. UTA,10/31/2025,W,1,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Khaman Maluach,PHX,PHX vs. UTA,10/31/2025,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,2,3.0
Svi Mykhailiuk,UTA,UTA @ PHX,10/31/2025,L,23,0,0,5,0.0,0,5,0.0,0,0,-,1,2,3,1,0,0,1,1,-1,4.1
Grayson Allen,PHX,PHX vs. UTA,10/31/2025,W,32,14,5,15,33.3,2,9,22.2,2,3,66.7,1,6,7,6,3,1,1,3,17,42.4
Ace Bailey,UTA,UTA @ PHX,10/31/2025,L,23,6,2,8,25.0,0,3,0.0,2,2,100,3,5,8,3,1,0,3,1,-15,20.1
Kyle Anderson,UTA,UTA @ PHX,10/31/2025,L,25,8,3,6,50.0,0,0,-,2,3,66.7,1,2,3,3,0,0,1,2,-5,15.1
Walker Kessler,UTA,UTA @ PHX,10/31/2025,L,29,4,2,5,40.0,0,0,-,0,0,-,4,9,13,1,1,0,3,4,-6,21.1
Jaxson Hayes,LAL,LAL @ MEM,10/31/2025,W,23,2,1,2,50.0,0,0,-,0,2,0.0,1,6,7,5,0,1,0,1,15,20.9
Jake LaRavia,LAL,LAL @ MEM,10/31/2025,W,23,13,5,8,62.5,1,3,33.3,2,3,66.7,1,4,5,2,3,0,1,0,-4,30.0
Ryan Dunn,PHX,PHX vs. UTA,10/31/2025,W,31,13,5,12,41.7,1,7,14.3,2,2,100,2,8,10,2,2,0,1,2,2,33.0
Mark Williams,PHX,PHX vs. UTA,10/31/2025,W,25,9,3,6,50.0,0,0,-,3,4,75.0,1,6,7,0,0,2,0,2,3,23.4
Nigel Hayes-Davis,PHX,PHX vs. UTA,10/31/2025,W,4,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-2,3.2
Brice Sensabaugh,UTA,UTA @ PHX,10/31/2025,L,5,3,1,4,25.0,1,3,33.3,0,0,-,0,0,0,0,0,0,1,2,-6,2.0
Kyle Filipowski,UTA,UTA @ PHX,10/31/2025,L,10,2,1,5,20.0,0,1,0.0,0,0,-,0,2,2,1,0,0,2,2,-10,3.9
Taylor Hendricks,UTA,UTA @ PHX,10/31/2025,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-18,0.0
Isaiah Livers,PHX,PHX vs. UTA,10/31/2025,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,12,1.5
Lauri Markkanen,UTA,UTA @ PHX,10/31/2025,L,35,33,10,20,50.0,4,11,36.4,9,12,75.0,1,3,4,0,0,1,2,1,-9,38.8
Elijah Harkless,UTA,UTA @ PHX,10/31/2025,L,12,5,2,5,40.0,1,3,33.3,0,0,-,0,0,0,1,0,0,0,2,0,6.5
Nick Richards,PHX,PHX vs. UTA,10/31/2025,W,7,4,1,2,50.0,0,0,-,2,2,100,0,0,0,0,0,0,0,1,-3,4.0
Jordan Goodwin,PHX,PHX vs. UTA,10/31/2025,W,17,7,3,8,37.5,1,5,20.0,0,0,-,1,3,4,3,1,0,2,2,11,17.3
Walter Clayton Jr.,UTA,UTA @ PHX,10/31/2025,L,9,3,1,3,33.3,1,1,100,0,0,-,0,0,0,2,0,0,0,1,-22,6.0
Royce O'Neale,PHX,PHX vs. UTA,10/31/2025,W,33,13,5,10,50.0,3,8,37.5,0,0,-,0,5,5,2,2,0,1,1,13,27.0
Cody Williams,UTA,UTA @ PHX,10/31/2025,L,15,8,3,6,50.0,2,4,50.0,0,0,-,0,1,1,0,0,0,0,1,-8,9.2
Jusuf Nurkić,UTA,UTA @ PHX,10/31/2025,L,17,7,2,3,66.7,1,2,50.0,2,4,50.0,1,5,6,2,1,1,5,2,-13,18.2
Collin Gillespie,PHX,PHX vs. UTA,10/31/2025,W,27,12,4,8,50.0,4,7,57.1,0,0,-,0,3,3,6,1,1,0,4,16,30.6
Keyonte George,UTA,UTA @ PHX,10/31/2025,L,33,17,3,10,30.0,2,4,50.0,9,11,81.8,1,7,8,9,1,1,3,3,3,43.1
Cameron Johnson,DEN,DEN @ POR,10/31/2025,L,31,9,3,7,42.9,1,3,33.3,2,2,100,0,6,6,1,0,1,0,2,14,20.7
Toumani Camara,POR,POR vs. DEN,10/31/2025,W,30,14,5,12,41.7,2,5,40.0,2,4,50.0,0,2,2,3,2,2,1,5,-2,31.9
Kris Dunn,LAC,LAC vs. NOP,10/31/2025,W,23,6,3,6,50.0,0,1,0.0,0,0,-,0,0,0,0,3,0,1,4,-2,14.0
Kawhi Leonard,LAC,LAC vs. NOP,10/31/2025,W,36,34,11,16,68.8,5,8,62.5,7,7,100,0,5,5,5,6,0,2,2,6,63.5
Jerami Grant,POR,POR vs. DEN,10/31/2025,W,32,16,4,11,36.4,1,6,16.7,7,7,100,0,5,5,0,2,1,2,3,-4,29.0
Jeremiah Fears,NOP,NOP @ LAC,10/31/2025,L,29,13,4,14,28.6,2,5,40.0,3,3,100,1,3,4,8,4,0,0,2,4,41.8
Peyton Watson,DEN,DEN @ POR,10/31/2025,L,23,10,3,7,42.9,0,2,0.0,4,6,66.7,3,1,4,1,2,1,2,2,-8,23.3
Brook Lopez,LAC,LAC vs. NOP,10/31/2025,W,14,3,1,5,20.0,0,3,0.0,1,2,50.0,1,2,3,0,1,1,1,0,0,11.6
Nikola Jokić,DEN,DEN @ POR,10/31/2025,L,37,21,7,10,70.0,2,3,66.7,5,7,71.4,2,12,14,9,1,2,3,1,9,57.3
Derrick Jones Jr.,LAC,LAC vs. NOP,10/31/2025,W,29,16,7,10,70.0,2,5,40.0,0,0,-,2,1,3,1,0,2,0,1,9,27.1
Jordan Poole,NOP,NOP @ LAC,10/31/2025,L,33,30,9,15,60.0,7,13,53.8,5,5,100,0,2,2,2,0,1,5,2,1,33.4
Christian Braun,DEN,DEN @ POR,10/31/2025,L,30,5,2,6,33.3,0,3,0.0,1,2,50.0,1,2,3,1,0,1,4,5,-1,9.1
Jose Alvarado,NOP,NOP @ LAC,10/31/2025,L,16,4,1,3,33.3,1,3,33.3,1,2,50.0,0,2,2,1,1,0,0,2,-3,10.9
Kris Murray,POR,POR vs. DEN,10/31/2025,W,29,10,4,8,50.0,1,3,33.3,1,2,50.0,3,3,6,1,3,0,2,4,5,25.7
James Harden,LAC,LAC vs. NOP,10/31/2025,W,39,24,8,19,42.1,4,13,30.8,4,5,80.0,1,4,5,14,2,0,4,2,3,53.0
Herbert Jones,NOP,NOP @ LAC,10/31/2025,L,30,11,4,5,80.0,3,4,75.0,0,0,-,0,4,4,4,1,0,2,0,-5,22.8
Ivica Zubac,LAC,LAC vs. NOP,10/31/2025,W,34,14,5,7,71.4,0,0,-,4,4,100,1,10,11,1,0,3,0,5,2,37.7
Shaedon Sharpe,POR,POR vs. DEN,10/31/2025,W,24,19,7,14,50.0,3,7,42.9,2,3,66.7,2,2,4,1,0,1,1,1,9,27.3
Derik Queen,NOP,NOP @ LAC,10/31/2025,L,13,6,2,5,40.0,0,0,-,2,2,100,2,3,5,0,0,1,1,3,2,14.0
Tim Hardaway Jr.,DEN,DEN @ POR,10/31/2025,L,22,11,3,10,30.0,2,6,33.3,3,3,100,0,2,2,2,1,0,0,0,2,19.4
Deni Avdija,POR,POR vs. DEN,10/31/2025,W,33,23,7,13,53.8,2,4,50.0,7,9,77.8,1,3,4,4,0,0,4,5,17,29.8
Nicolas Batum,LAC,LAC vs. NOP,10/31/2025,W,16,3,1,4,25.0,1,2,50.0,0,0,-,3,2,5,0,0,0,2,3,-8,7.0
Trey Murphy III,NOP,NOP @ LAC,10/31/2025,L,34,17,6,14,42.9,5,10,50.0,0,0,-,1,4,5,6,2,0,1,3,-3,37.0
Aaron Gordon,DEN,DEN @ POR,10/31/2025,L,32,14,5,11,45.5,0,2,0.0,4,4,100,2,3,5,1,1,0,3,3,4,21.5
Jamal Murray,DEN,DEN @ POR,10/31/2025,L,34,22,9,15,60.0,1,4,25.0,3,3,100,0,6,6,3,1,0,2,2,-15,34.7
John Collins,LAC,LAC vs. NOP,10/31/2025,W,19,14,6,10,60.0,1,3,33.3,1,1,100,1,2,3,1,0,0,1,0,-4,18.1
Yves Missi,NOP,NOP @ LAC,10/31/2025,L,28,6,3,4,75.0,0,0,-,0,0,-,5,4,9,3,0,1,3,2,0,21.3
Jrue Holiday,POR,POR vs. DEN,10/31/2025,W,32,11,4,13,30.8,2,7,28.6,1,2,50.0,0,3,3,13,2,0,2,2,4,38.1
Zion Williamson,NOP,NOP @ LAC,10/31/2025,L,33,29,9,17,52.9,0,0,-,11,13,84.6,3,3,6,3,0,0,3,3,-5,37.7
Saddiq Bey,NOP,NOP @ LAC,10/31/2025,L,22,8,2,5,40.0,0,2,0.0,4,4,100,0,4,4,1,0,0,0,0,4,14.3
Rayan Rupert,POR,POR vs. DEN,10/31/2025,W,6,2,1,3,33.3,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-9,2.0
Bruce Brown,DEN,DEN @ POR,10/31/2025,L,20,5,2,5,40.0,0,2,0.0,1,2,50.0,0,3,3,0,0,1,0,2,-4,11.6
Jonas Valančiūnas,DEN,DEN @ POR,10/31/2025,L,11,10,4,8,50.0,0,0,-,2,2,100,2,1,3,1,0,1,2,4,-11,16.1
Duop Reath,POR,POR vs. DEN,10/31/2025,W,7,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,4,0.0
Donovan Clingan,POR,POR vs. DEN,10/31/2025,W,24,5,2,8,25.0,0,3,0.0,1,1,100,7,8,15,1,0,0,0,2,-4,24.5
Robert Williams III,POR,POR vs. DEN,10/31/2025,W,11,4,2,2,100,0,0,-,0,1,0.0,3,1,4,1,0,1,0,2,-6,13.3
Karlo Matković,NOP,NOP @ LAC,10/31/2025,L,3,0,0,1,0.0,0,0,-,0,0,-,0,2,2,0,0,1,0,1,-5,5.4
Chris Paul,LAC,LAC vs. NOP,10/31/2025,W,9,3,1,4,25.0,1,2,50.0,0,0,-,1,0,1,4,0,0,0,0,-1,10.2
Blake Wesley,POR,POR vs. DEN,10/31/2025,W,10,5,2,5,40.0,0,1,0.0,1,2,50.0,0,0,0,2,2,0,0,0,-4,14.0
Bradley Beal,LAC,LAC vs. NOP,10/31/2025,W,21,9,3,8,37.5,1,2,50.0,2,2,100,0,1,1,2,0,0,1,2,5,12.2
Devin Booker,PHX,PHX vs. UTA,10/31/2025,W,39,36,13,23,56.5,6,9,66.7,4,5,80.0,2,4,6,9,0,1,1,4,19,58.7
Oso Ighodaro,PHX,PHX vs. UTA,10/31/2025,W,19,8,3,3,100,0,0,-,2,2,100,0,1,1,1,1,0,3,6,18,10.7
Vince Williams Jr.,MEM,MEM vs. LAL,10/31/2025,L,17,7,3,9,33.3,1,6,16.7,0,0,-,0,2,2,2,1,0,2,5,-1,13.4
Santi Aldama,MEM,MEM vs. LAL,10/31/2025,L,26,7,3,12,25.0,1,5,20.0,0,0,-,4,6,10,4,1,0,2,2,-9,26.0
Pat Connaughton,CHA,CHA vs. ORL,10/30/2025,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Jase Richardson,ORL,ORL @ CHA,10/30/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,0,-2,3.0
Jett Howard,ORL,ORL @ CHA,10/30/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Orlando Robinson,ORL,ORL @ CHA,10/30/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,0.0
Miles Bridges,CHA,CHA vs. ORL,10/30/2025,L,33,16,6,15,40.0,4,6,66.7,0,0,-,0,5,5,0,0,1,3,2,-17,22.0
Franz Wagner,ORL,ORL @ CHA,10/30/2025,W,34,21,8,16,50.0,3,6,50.0,2,2,100,2,3,5,3,1,0,2,1,23,32.5
Ryan Kalkbrenner,CHA,CHA vs. ORL,10/30/2025,L,32,17,8,9,88.9,0,0,-,1,1,100,3,4,7,0,1,3,3,2,-14,34.4
Desmond Bane,ORL,ORL @ CHA,10/30/2025,W,28,9,4,11,36.4,0,2,0.0,1,1,100,2,2,4,7,0,0,4,4,9,20.3
Jonathan Isaac,ORL,ORL @ CHA,10/30/2025,W,15,2,1,5,20.0,0,4,0.0,0,0,-,1,2,3,1,1,3,0,2,9,19.1
Wendell Carter Jr.,ORL,ORL @ CHA,10/30/2025,W,27,18,6,9,66.7,3,5,60.0,3,4,75.0,5,3,8,3,0,1,1,3,10,34.1
Tre Mann,CHA,CHA vs. ORL,10/30/2025,L,16,9,4,9,44.4,1,4,25.0,0,0,-,1,1,2,0,0,0,2,2,-11,9.4
Anthony Black,ORL,ORL @ CHA,10/30/2025,W,31,20,8,13,61.5,3,6,50.0,1,1,100,1,0,1,2,2,2,3,1,8,33.2
Kon Knueppel,CHA,CHA vs. ORL,10/30/2025,L,27,5,2,6,33.3,1,4,25.0,0,0,-,1,2,3,1,0,0,4,2,-20,6.1
Moussa Diabaté,CHA,CHA vs. ORL,10/30/2025,L,20,10,4,8,50.0,0,0,-,2,2,100,4,2,6,1,0,2,0,2,-1,24.7
LaMelo Ball,CHA,CHA vs. ORL,10/30/2025,L,36,17,8,19,42.1,1,9,11.1,0,0,-,1,6,7,13,2,0,3,4,-4,47.9
Paolo Banchero,ORL,ORL @ CHA,10/30/2025,W,33,20,8,12,66.7,2,4,50.0,2,6,33.3,1,8,9,9,2,0,1,2,9,49.3
Tristan da Silva,ORL,ORL @ CHA,10/30/2025,W,22,19,5,11,45.5,3,7,42.9,6,6,100,1,2,3,1,3,0,2,2,5,31.1
Sion James,CHA,CHA vs. ORL,10/30/2025,L,28,8,3,5,60.0,1,2,50.0,1,1,100,0,4,4,1,1,0,2,2,-9,15.3
Noah Penda,ORL,ORL @ CHA,10/30/2025,W,17,3,1,2,50.0,0,0,-,1,2,50.0,0,2,2,1,0,0,0,2,-4,6.9
Collin Sexton,CHA,CHA vs. ORL,10/30/2025,L,25,19,5,7,71.4,3,4,75.0,6,8,75.0,0,2,2,4,0,0,3,5,3,24.4
Tyus Jones,ORL,ORL @ CHA,10/30/2025,W,14,5,2,4,50.0,1,3,33.3,0,0,-,0,0,0,0,1,0,0,0,10,8.0
Tidjane Salaün,CHA,CHA vs. ORL,10/30/2025,L,7,0,0,1,0.0,0,0,-,0,0,-,1,1,2,0,0,0,1,0,2,1.4
Liam McNeeley,CHA,CHA vs. ORL,10/30/2025,L,14,6,2,4,50.0,0,1,0.0,2,3,66.7,1,2,3,4,1,0,0,1,-11,18.6
Goga Bitadze,ORL,ORL @ CHA,10/30/2025,W,13,6,2,4,50.0,1,1,100,1,1,100,1,2,3,0,0,1,0,1,7,12.6
Tre Johnson,WAS,WAS @ OKC,10/30/2025,L,27,10,3,7,42.9,2,5,40.0,2,2,100,0,3,3,2,0,0,1,4,-2,15.6
Ajay Mitchell,OKC,OKC vs. WAS,10/30/2025,W,30,20,6,15,40.0,2,7,28.6,6,6,100,0,1,1,2,2,0,0,3,9,30.2
Kyshawn George,WAS,WAS @ OKC,10/30/2025,L,31,12,4,8,50.0,3,5,60.0,1,1,100,1,6,7,6,0,1,5,5,-14,27.4
Will Riley,WAS,WAS @ OKC,10/30/2025,L,5,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,3.5
CJ McCollum,WAS,WAS @ OKC,10/30/2025,L,24,19,6,10,60.0,5,8,62.5,2,2,100,0,2,2,1,0,0,1,2,-5,21.9
Ousmane Dieng,OKC,OKC vs. WAS,10/30/2025,W,5,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,2,0,1,-3,8.0
Khris Middleton,WAS,WAS @ OKC,10/30/2025,L,20,6,3,6,50.0,0,1,0.0,0,0,-,1,0,1,2,0,0,2,4,-19,8.2
Corey Kispert,WAS,WAS @ OKC,10/30/2025,L,20,8,2,6,33.3,1,4,25.0,3,3,100,1,5,6,2,0,0,2,1,-12,16.2
Cason Wallace,OKC,OKC vs. WAS,10/30/2025,W,27,12,3,7,42.9,2,4,50.0,4,4,100,1,4,5,3,4,2,0,2,14,40.5
Luguentz Dort,OKC,OKC vs. WAS,10/30/2025,W,26,7,3,7,42.9,1,5,20.0,0,0,-,5,1,6,1,2,0,0,0,16,21.7
Bub Carrington,WAS,WAS @ OKC,10/30/2025,L,22,3,1,5,20.0,0,4,0.0,1,2,50.0,0,4,4,1,0,0,3,4,-11,6.3
Chris Youngblood,OKC,OKC vs. WAS,10/30/2025,W,6,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,8,1.2
Aaron Wiggins,OKC,OKC vs. WAS,10/30/2025,W,24,8,3,11,27.3,0,6,0.0,2,4,50.0,0,4,4,3,0,2,2,0,3,21.3
Justin Champagnie,WAS,WAS @ OKC,10/30/2025,L,4,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,1,1.2
Branden Carlson,OKC,OKC vs. WAS,10/30/2025,W,4,3,1,1,100,1,1,100,0,0,-,0,2,2,1,0,0,0,0,-1,6.9
Isaiah Hartenstein,OKC,OKC vs. WAS,10/30/2025,W,26,17,7,11,63.6,0,0,-,3,4,75.0,5,3,8,5,2,0,3,2,15,37.1
Cam Whitmore,WAS,WAS @ OKC,10/30/2025,L,15,7,3,9,33.3,1,1,100,0,0,-,2,3,5,1,1,0,0,1,-8,17.5
AJ Johnson,WAS,WAS @ OKC,10/30/2025,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0.0
Isaiah Joe,OKC,OKC vs. WAS,10/30/2025,W,24,20,7,12,58.3,5,9,55.6,1,2,50.0,1,5,6,1,1,0,0,2,11,31.7
Jaylin Williams,OKC,OKC vs. WAS,10/30/2025,W,22,7,2,6,33.3,2,6,33.3,1,2,50.0,2,7,9,4,2,1,0,4,4,32.8
Marvin Bagley III,WAS,WAS @ OKC,10/30/2025,L,16,8,3,4,75.0,1,1,100,1,2,50.0,2,1,3,2,0,0,1,3,-7,13.6
