PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Paul George,PHI,PHI @ DAL,01/01/2026,W,33,14,5,11,45.5,0,3,0.0,4,4,100,1,6,7,2,1,0,5,3,20,23.4
Cooper Flagg,DAL,DAL vs. PHI,01/01/2026,L,37,12,5,15,33.3,0,2,0.0,2,2,100,1,6,7,7,1,0,2,2,-1,31.9
Jaden Hardy,DAL,DAL vs. PHI,01/01/2026,L,7,5,1,4,25.0,1,4,25.0,2,2,100,0,1,1,1,0,0,2,0,6,5.7
Ryan Nembhard,DAL,DAL vs. PHI,01/01/2026,L,22,9,4,7,57.1,1,2,50.0,0,0,-,0,2,2,3,0,0,2,1,-5,13.9
P.J. Washington,DAL,DAL vs. PHI,01/01/2026,L,34,11,3,6,50.0,1,4,25.0,4,5,80.0,0,5,5,1,2,1,0,1,-22,27.5
Dominick Barlow,PHI,PHI @ DAL,01/01/2026,W,18,5,1,3,33.3,1,2,50.0,2,2,100,0,1,1,0,1,0,0,6,-5,9.2
Brandon Williams,DAL,DAL vs. PHI,01/01/2026,L,24,14,5,15,33.3,0,3,0.0,4,4,100,1,6,7,5,1,0,2,0,-10,30.9
Jared McCain,PHI,PHI @ DAL,01/01/2026,W,14,2,1,5,20.0,0,2,0.0,0,0,-,0,3,3,0,1,0,0,3,9,8.6
Anthony Davis,DAL,DAL vs. PHI,01/01/2026,L,37,13,6,13,46.2,0,1,0.0,1,2,50.0,3,5,8,2,1,0,3,3,-14,25.6
Caleb Martin,DAL,DAL vs. PHI,01/01/2026,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-11,0.0
Naji Marshall,DAL,DAL vs. PHI,01/01/2026,L,22,9,4,7,57.1,0,0,-,1,1,100,0,1,1,1,0,0,0,0,2,11.7
Joel Embiid,PHI,PHI @ DAL,01/01/2026,W,35,22,9,18,50.0,0,3,0.0,4,5,80.0,0,4,4,6,0,1,2,1,9,36.8
Andre Drummond,PHI,PHI @ DAL,01/01/2026,W,7,2,1,2,50.0,0,1,0.0,0,0,-,2,2,4,0,0,0,1,2,-1,5.8
Adem Bona,PHI,PHI @ DAL,01/01/2026,W,7,2,1,2,50.0,0,0,-,0,0,-,1,3,4,0,0,0,0,0,7,6.8
VJ Edgecombe,PHI,PHI @ DAL,01/01/2026,W,40,23,9,14,64.3,3,6,50.0,2,3,66.7,2,3,5,2,4,1,0,1,3,47.0
Quentin Grimes,PHI,PHI @ DAL,01/01/2026,W,38,19,7,9,77.8,5,7,71.4,0,0,-,0,7,7,2,1,3,0,3,19,42.4
Max Christie,DAL,DAL vs. PHI,01/01/2026,L,29,18,7,13,53.8,2,7,28.6,2,2,100,0,1,1,2,0,0,2,2,-7,20.2
Klay Thompson,DAL,DAL vs. PHI,01/01/2026,L,13,9,4,9,44.4,1,5,20.0,0,0,-,1,1,2,1,1,0,0,0,-12,15.9
Daniel Gafford,DAL,DAL vs. PHI,01/01/2026,L,11,8,3,5,60.0,0,0,-,2,2,100,1,4,5,0,2,0,0,2,-1,20.0
Dennis Schröder,SAC,SAC vs. BOS,01/01/2026,L,28,18,7,12,58.3,3,8,37.5,1,1,100,0,3,3,7,0,0,2,1,-5,30.1
DeMar DeRozan,SAC,SAC vs. BOS,01/01/2026,L,35,25,9,16,56.3,1,3,33.3,6,6,100,1,4,5,6,1,0,0,2,-13,43.0
Maxime Raynaud,SAC,SAC vs. BOS,01/01/2026,L,35,12,5,8,62.5,0,0,-,2,2,100,2,6,8,1,0,0,0,2,-4,23.1
Jordan Walsh,BOS,BOS @ SAC,01/01/2026,W,5,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-5,1.2
Baylor Scheierman,BOS,BOS @ SAC,01/01/2026,W,9,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,1,1,-2,2.0
Derrick White,BOS,BOS @ SAC,01/01/2026,W,35,16,5,13,38.5,2,7,28.6,4,4,100,0,5,5,7,2,2,1,0,14,43.5
Sam Hauser,BOS,BOS @ SAC,01/01/2026,W,29,15,5,7,71.4,5,7,71.4,0,0,-,0,5,5,1,1,0,0,0,15,25.5
